('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419719 function calls (406763 primitive calls) in 1.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11551    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     4701    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
      876    0.002    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
       76    0.000    0.000    0.002    0.000 _markupbase.py:168(parse_comment)
      951    0.002    0.000    0.002    0.000 __init__.py:521(pushTag)
      361    0.001    0.000    0.002    0.000 element.py:885(__new__)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
     5722    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     4076    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
      361    0.001    0.000    0.002    0.000 __init__.py:568(object_was_parsed)
     2055    0.001    0.000    0.002    0.000 __init__.py:474(string_container)
     6386    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 utils.py:169(get_netrc_auth)
        1    0.000    0.000    0.002    0.002 ssl_.py:220(create_urllib3_context)
      205    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.002    0.002 __meta__.py:1(<module>)
     1347    0.001    0.000    0.002    0.000 sre_parse.py:168(__setitem__)
       76    0.000    0.000    0.002    0.000 _htmlparser.py:251(handle_comment)
        1    0.000    0.000    0.002    0.002 bz2.py:5(<module>)
        1    0.000    0.000    0.002    0.002 adapters.py:9(<module>)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
     3067    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.002    0.002 dammit.py:71(_populate_class_variables)
        1    0.000    0.000    0.002    0.002 base64.py:3(<module>)
        2    0.000    0.000    0.001    0.001 cookies.py:118(extract_cookies_to_jar)
     2206    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
      175    0.001    0.000    0.001    0.000 enum.py:836(__and__)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
      818    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
     3656    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
3793/3725    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
     1684    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
        2    0.000    0.000    0.001    0.001 cookiejar.py:1667(extract_cookies)
