('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419819 function calls (406863 primitive calls) in 1.191 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  197/162    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
      195    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      189    0.000    0.000    0.000    0.000 status_codes.py:115(<genexpr>)
      182    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      182    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
      182    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      182    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      182    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    182/4    0.001    0.000    0.363    0.091 <frozen importlib._bootstrap_external>:722(exec_module)
      182    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      182    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      182    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      178    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      176    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      175    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      175    0.001    0.000    0.002    0.000 enum.py:836(__and__)
      175    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      175    0.000    0.000    0.044    0.000 sre_compile.py:598(_code)
      175    0.001    0.000    0.133    0.001 sre_compile.py:759(compile)
      175    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      175    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
      175    0.001    0.000    0.086    0.000 sre_parse.py:919(parse)
      174    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      171    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      171    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
      170    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
