('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         336945 function calls (327866 primitive calls) in 2.298 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      135    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      219    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       15    0.000    0.000    0.050    0.003 css_parser.py:294(__init__)
        1    0.000    0.000    0.001    0.001 client.py:203(parse_headers)
      173    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
       37    0.000    0.000    0.000    0.000 element.py:1261(get_text)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
      299    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
      264    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       53    0.000    0.000    0.000    0.000 re.py:252(escape)
        1    0.000    0.000    0.000    0.000 request.py:2456(getproxies_environment)
       68    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
       35    0.000    0.000    0.000    0.000 element.py:2149(__init__)
        1    0.000    0.000    0.073    0.073 universaldetector.py:36(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.000    0.000 escsm.py:28(<module>)
       68    0.000    0.000    0.000    0.000 os.py:696(__iter__)
       71    0.000    0.000    0.000    0.000 element.py:347(_last_descendant)
        1    0.000    0.000    0.097    0.097 dammit.py:8(<module>)
       21    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.018    0.018 sjisprober.py:28(<module>)
        1    0.000    0.000    0.431    0.431 client.py:266(_read_status)
        1    0.000    0.000    0.011    0.011 utils.py:5(<module>)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       41    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.013    0.013 css_match.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
    94/93    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       14    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
       14    0.000    0.000    0.021    0.001 css_parser.py:1040(process_selectors)
        1    0.000    0.000    0.002    0.002 utf8prober.py:28(<module>)
       15    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.263    0.263 __init__.py:2(<module>)
        1    0.000    0.000    0.098    0.098 socket.py:691(create_connection)
        1    0.000    0.000    0.211    0.211 element.py:2(<module>)
        1    0.000    0.000    0.004    0.004 escprober.py:28(<module>)
        1    0.000    0.000    0.432    0.432 client.py:299(begin)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.005    0.005 tempfile.py:24(<module>)
        1    0.000    0.000    2.298    2.298 financial_enhanced.py:1(<module>)
